rank,system,slug,split,date,model,resolved,resolve_rate,site_url,report_url,repo_url,repo_sha,local_path,has_logs,has_trajs
1,live-SWE-agent + Claude 4.5 Opus medium (20251101),livesweagent,verified,2025-12-15,claude-opus-4-5-20251101,396,79.2,https://github.com/OpenAutoCoder/live-swe-agent,https://arxiv.org/abs/2511.13646,https://github.com/OpenAutoCoder/live-swe-agent,8d7dd8634580d1e09320b4c27d70380bc9ae74a8,/Users/orkhanjavadli/swebench-agents/agents/01_livesweagent,False,False
2,Sonar Foundation Agent + Claude 4.5 Opus,sonarfoundationagent,verified,2025-12-05,claude-opus-4-5,396,79.2,https://www.sonarsource.com,https://github.com/AutoCodeRoverSG/sonar-foundation-agent/blob/main/technical_report.pdf,https://github.com/AutoCodeRoverSG/sonar-foundation-agent,394c58819e1344861a3a95125c7c539f5569d267,/Users/orkhanjavadli/swebench-agents/agents/02_sonarfoundationagent,False,False
3,TRAE + Doubao-Seed-Code,trae,verified,2025-09-28,"Doubao-Seed-Code, Doubao-Seed-1.6",394,78.8,https://github.com/bytedance/trae-agent; https://seed.bytedance.com/,https://arxiv.org/abs/2507.23370,https://github.com/bytedance/trae-agent,e839e559ac61bdd0e057c375dd1dee391fee797d,/Users/orkhanjavadli/swebench-agents/agents/03_trae,False,False
4,ACoder,acoder,verified,2025-08-19,"claude-4-sonnet, claude-4.1-opus, gpt-5-0807-global, gemini-2.5-pro-06-17",382,76.4,https://github.com/ACoder-AI/ACoder,https://github.com/ACoder-AI/ACoder/blob/main/ACoder_Report.md,https://github.com/ACoder-AI/ACoder,63325725b6cf7f3668bb2c0dd6e5ee37492d80e4,/Users/orkhanjavadli/swebench-agents/agents/04_acoder,False,False
5,JoyCode + Claude 4 Sonnet + GPT-4.1,joycode,verified,2025-09-15,"claude-4-sonnet, gpt-4.1",373,74.6,https://github.com/jd-opensource/joycode-agent,https://developer.jdcloud.com/article/4365,https://github.com/jd-opensource/joycode-agent,1bace2ab9f1d6345789cd6bb16aff32cca09b518,/Users/orkhanjavadli/swebench-agents/agents/05_joycode,False,False
6,Lingxi-v1.5_claude-4-sonnet-20250514,lingxi,verified,2025-07-20,claude-4-sonnet-20250514,373,74.6,https://github.com/nimasteryang/Lingxi,https://github.com/nimasteryang/Lingxi/blob/master/docs/Lingxi%20v1.5%20Technical%20Report%20200725.pdf,https://github.com/nimasteryang/Lingxi,1f2e5dc4c87072cb4827c9c65d31450ae05ac482,/Users/orkhanjavadli/swebench-agents/agents/06_lingxi,False,False
7,Moatless Tools + Claude 4 Sonnet,moatlesstools,verified,2025-06-11,claude-4-sonnet-20250514,354,70.8,https://github.com/aorwall/moatless-tools,https://github.com/aorwall/moatless-tools,https://github.com/aorwall/moatless-tools,011ead57a5c81664e9c45e07e1f50b17e695cc63,/Users/orkhanjavadli/swebench-agents/agents/07_moatlesstools,False,False
8,SWE-agent + Claude 4 Sonnet,sweagent,verified,2025-05-22,claude-4-sonnet-20250514,333,66.6,https://github.com/SWE-agent/SWE-agent,,https://github.com/SWE-agent/SWE-agent,3ea751c087f32b16e039a2233dd6eefecef325d5,/Users/orkhanjavadli/swebench-agents/agents/08_sweagent,False,False
9,AgentScope,agentscope,verified,2025-02-06,claude-3-5-sonnet-20241022,317,63.4,https://github.com/modelscope/agentscope,https://arxiv.org/abs/2402.14034,https://github.com/modelscope/agentscope,29b592358c2e983a0d10dd5227316b7a02d8c23a,/Users/orkhanjavadli/swebench-agents/agents/09_agentscope,False,False
10,EntroPO + R2E + Qwen3-Coder-30B-A3B-Instruct,entropo,verified,2025-09-01,Qwen3-Coder-30B-A3B-Instruct,302,60.4,https://github.com/sherdencooper/R2E-Gym,https://www.notion.so/Introducing-EntroPO-Supercharging-LLM-Coding-Agents-by-Preserving-Solution-Diversity-260b285fc61c80089119f3e86a6b63a4,https://github.com/sherdencooper/R2E-Gym,eee9f6f00ab70583403ec57a3080398b8078531e,/Users/orkhanjavadli/swebench-agents/agents/10_entropo,False,False
11,ExpeRepair-v1.0 + Claude 4 Sonnet,experepair,lite,2025-06-25,"claude-4-sonnet-20250514, o3-mini, o4-mini",181,60.33,https://github.com/ExpeRepair/ExpeRepair,https://arxiv.org/abs/2506.10484,https://github.com/ExpeRepair/ExpeRepair,5594f2c02c23d2bf204e5db76949425e6d170922,/Users/orkhanjavadli/swebench-agents/agents/11_experepair,False,False
12,KGCompass + Claude 4 Sonnet (20250514),kgcompass,lite,2025-09-06,claude-4-sonnet-20250514,175,58.33,https://github.com/GLEAM-Lab/KGCompass,https://arxiv.org/abs/2503.21710,https://github.com/GLEAM-Lab/KGCompass,b74a584e6db4b371908283e9421a624092f0aeb6,/Users/orkhanjavadli/swebench-agents/agents/12_kgcompass,False,False
13,SWE-Rizzo,swerizzo,verified,2025-04-05,,283,56.6,https://gen42.ai,https://github.com/brokespace/gen42-codemonkeys,https://github.com/brokespace/gen42-codemonkeys,c6303b87108e3bcf1846ac70fc1f442d1030ac93,/Users/orkhanjavadli/swebench-agents/agents/13_swerizzo,False,False
14,Agentless-1.5 + Claude-3.5 Sonnet (20241022),agentless15,verified,2024-12-02,claude-3-5-sonnet-20241022,254,50.8,https://github.com/OpenAutoCoder/Agentless,,https://github.com/OpenAutoCoder/Agentless,5ce5888b9f149beaace393957a55ea8ee46c9f71,/Users/orkhanjavadli/swebench-agents/agents/14_agentless15,False,False
15,Composio SWE-Kit (2024-10-25),composioswekit,verified,2024-10-25,"claude-3-5-sonnet-20241022, o1-mini",243,48.6,https://github.com/ComposioHQ/composio/tree/master/python/swe/agent,,https://github.com/ComposioHQ/composio,13cba53b1d1d88eb9f54b740735fcd33534e0eb5,/Users/orkhanjavadli/swebench-agents/agents/15_composioswekit,False,False
16,DARS Agent,darsagent,lite,2025-02-05,"claude-3-5-sonnet-20241022, deepseek-reasoner",141,47.0,https://github.com/darsagent/DARS-Agent,https://drive.google.com/file/d/1DMAZ-fkirC8uKl8819cOq9J3BQ4E7GXR/view,https://github.com/darsagent/DARS-Agent,eab35168a90b7dc5b5a05a29d7d41993cdb74bdf,/Users/orkhanjavadli/swebench-agents/agents/16_darsagent,False,False
17,CodeShellAgent + Gemini 2.0 Flash (Experimental),codeshellagent,verified,2025-01-18,gemini-2.0-flash-exp,221,44.2,https://github.com/WisdomShell/codeshell,,https://github.com/WisdomShell/codeshell,09d1adc88ccada1a92924c69ece0cf0e73899b1b,/Users/orkhanjavadli/swebench-agents/agents/17_codeshellagent,False,False
18,CodeFuse-CGM,codefusecgm,lite,2025-03-10,,132,44.0,https://github.com/codefuse-ai/CodeFuse-CGM,https://arxiv.org/abs/2505.16901,https://github.com/codefuse-ai/CodeFuse-CGM,2c12754adeb0e4d97d31ea19c2181523fa742d55,/Users/orkhanjavadli/swebench-agents/agents/18_codefusecgm,False,False
19,Agentless Lite + O3 Mini (20250214),agentlesslite,verified,2025-02-14,o3-mini,212,42.4,https://github.com/sorendunn/Agentless-Lite,https://github.com/sorendunn/Agentless-Lite,https://github.com/sorendunn/Agentless-Lite,01900cec1774f2947b7751dd336986cb66e6c14f,/Users/orkhanjavadli/swebench-agents/agents/19_agentlesslite,False,False
20,SWE-Exp,sweexp,verified,2025-08-06,DeepSeek-V3-0324,210,42.0,https://github.com/YerbaPage/SWE-Exp,https://www.arxiv.org/abs/2507.23361,https://github.com/YerbaPage/SWE-Exp,6b5c92ed0a6fc14de972c5d499673e2c4f03ce33,/Users/orkhanjavadli/swebench-agents/agents/20_sweexp,False,False
21,SWE-RL (Llama3-SWE-RL-70B + Agentless Mini) (20250226),swerl,verified,2025-02-26,Llama3-SWE-RL-70B,206,41.2,https://github.com/facebookresearch/swe-rl,https://arxiv.org/abs/2502.18449,https://github.com/facebookresearch/swe-rl,5aa10d67f1db07ecd3a20483d63fe2d5029ac9c9,/Users/orkhanjavadli/swebench-agents/agents/21_swerl,False,False
22,OrcaLoca + Agentless-1.5 + Claude-3.5 Sonnet (20241022),orcaloca,lite,2025-01-13,claude-3-5-sonnet-20241022,123,41.0,https://github.com/fishmingyu/OrcarLLM,https://fishmingyu.github.io/OrcaLoca/,https://github.com/fishmingyu/OrcarLLM,341de75336ffb9496b6c906175a0ed1288cb69d8,/Users/orkhanjavadli/swebench-agents/agents/22_orcaloca,False,False
23,Patched.Codes Patchwork,patchedcodespatchwork,lite,2025-01-04,claude-3-5-sonnet-20241022,111,37.0,https://github.com/patched-codes/patchwork,,https://github.com/patched-codes/patchwork,21948cbec44d3b7aec30715923ac7a0cd3fb1155,/Users/orkhanjavadli/swebench-agents/agents/23_patchedcodespatchwork,False,False
24,SWE-Fixer (Qwen2.5-7b retriever + Qwen2.5-72b editor),swefixer,verified,2025-03-06,Qwen 2.5,164,32.8,https://github.com/InternLM/SWE-Fixer,https://arxiv.org/abs/2501.05040,https://github.com/InternLM/SWE-Fixer,78716936725d73a26653f4f008984380e3cd8a57,/Users/orkhanjavadli/swebench-agents/agents/24_swefixer,False,False
25,CodeShellTester + GPT 4o (2024-05-13),codeshelltester,lite,2024-11-11,gpt-4o-2024-05-13,94,31.33,https://github.com/WisdomShell/codeshell,,https://github.com/WisdomShell/codeshell,09d1adc88ccada1a92924c69ece0cf0e73899b1b,/Users/orkhanjavadli/swebench-agents/agents/25_codeshelltester,False,False
26,Aegis - o3-mini_1.0,aegiso3mini10,lite,2025-02-07,o3-mini,91,30.33,https://github.com/evandiewald/aegis,,https://github.com/evandiewald/aegis,cd81da38f4c0f618cc6e6e063094ceefaf63a669,/Users/orkhanjavadli/swebench-agents/agents/26_aegiso3mini10,False,False
27,Agentless + RepoGraph + GPT-4o,agentless,lite,2024-08-08,gpt-4o-2024-08-06,89,29.67,https://github.com/ozyyshr/RepoGraph,,https://github.com/ozyyshr/RepoGraph,6c3977d87845993bf2c0359b4ac752278d7f3c45,/Users/orkhanjavadli/swebench-agents/agents/27_agentless,False,False
28,CodeR + GPT 4 (1106),coder,lite,2024-06-04,gpt-4-1106-preview,85,28.33,https://github.com/NL2Code/CodeR,https://github.com/NL2Code/CodeR,https://github.com/NL2Code/CodeR,d63468344bc215bbabb8f0c1ba4af24897a946df,/Users/orkhanjavadli/swebench-agents/agents/28_coder,False,False
29,Aider + GPT 4o & Claude 3 Opus,aider,lite,2024-05-23,"claude-3-opus-20240229, gpt-4o-2024-08-06",79,26.33,https://github.com/paul-gauthier/aider,,https://github.com/paul-gauthier/aider,5dc9490bb35f9729ef2c95d00a19ccd30c26339c,/Users/orkhanjavadli/swebench-agents/agents/29_aider,False,False
30,RAG + Claude 3 Opus,rag,verified,2024-04-02,claude-3-opus-20240229,35,7.0,https://github.com/SWE-bench/SWE-bench/tree/main/swebench/inference,,https://github.com/SWE-bench/SWE-bench,cd37836ffec01d01a0d699a80a039d84ff2cebfe,/Users/orkhanjavadli/swebench-agents/agents/30_rag,False,False
